sale,normalSale,store
24,7.5,14
38,8.5,15
20,7,15
13,8.5,15
14,5,16
11,4,16
13,5,16
71,29,17
26,27.5,17
106,7.25,18
34,9,18
78,16,19
27,14.5,19
48,16,19
29,11.25,20
24,9,20
28,11.25,20
73,17.2,21
28,17.67,21
98,19.25,227
31,19,227
32,19.25,227
47,5.75,228
20,7,228
15,5.75,228
35,3,229
10,5,229
26,3,229
72,5.75,230
19,6,230
27,5.75,230
19,1.5,231
5,2.5,231
4,1.5,231
11,4.75,232
1,3.5,232
9,4.75,232
22,3,233
7,1.67,233
22,2.2,234
10,2.67,234
1,1.4,235
2,1,235
54,8.8,22
28,9.33,22
4,6.2,23
6,6.67,23
24,11.25,24
21,12.5,24
18,11.25,24
26,8.2,25
15,7.67,25
19,4.6,26
12,4.67,26
41,5.67,27
36,7,27
37,4.4,28
15,4.67,28
60,16.75,29
45,17.5,29
51,16.75,29
11,7.25,30
29,7,30
17,4.75,31
8,4,31
12,4.75,31
24,8,32
19,6,32
17,8,32
61,6.75,33
13,5,33
24,6.75,33
18,4.2,34
7,3.67,34
17,4,35
27,5.25,36
9,4,36
19,5.25,36
53,5.75,37
12,5,37
23,5.75,37
41,15,38
15,14,38
30,15,38
16,3.4,39
12,4.67,39
36,6.6,40
16,7.67,40
54,16.75,41
45,15.5,41
38,16.75,41
73,8.5,42
43,6,42
37,8.5,42
27,8.6,43
9,5.25,44
12,4,44
11,5.25,44
25,4.4,45
5,5.33,45
10,3.4,46
2,3,46
35,10.75,47
25,8.5,47
16,10.75,47
52,6.75,48
6,5.5,48
35,6.75,48
21,7.25,49
7,7.5,49
7,7.25,49
36,7.5,50
18,5,50
28,7.5,50
36,10,51
17,11.5,51
20,10,51
32,10,52
14,10.67,52
8,2,53
4,2.67,53
54,12.5,54
18,10,54
26,12.5,54
33,11.25,55
22,10.5,55
17,11.25,55
12,8.25,56
11,6,56
22,8.25,56
10,3.8,57
65,11.5,58
10,9.5,58
33,11.5,58
13,2,59
10,2.5,59
12,2,59
20,4.25,60
12,3.5,60
8,4.25,60
2,2.8,61
4,2.67,61
29,11,62
24,9.5,62
22,11,62
41,7.5,63
10,4.5,63
26,7.5,63
200,52,64
16,4.4,65
10,5.33,65
19,5.8,66
12,4.67,66
12,3.4,67
13,4,67
13,3.4,68
11,4.33,68
10,6,69
11,6.67,69
8,5.4,70
3,6.67,70
27,6.2,71
15,5.33,71
27,12.5,72
16,8,72
21,12.5,72
8,1.4,73
15,1.33,73
23,1.25,74
5,2,74
15,1.25,74
31,12.75,75
14,11,75
31,12.75,75
10,4.6,76
10,4.67,76
9,7.8,77
9,7.75,78
11,6.5,78
5,7.75,78
4,0.67,79
38,10.25,80
9,12.5,80
20,10.25,80
52,7.75,81
21,7.5,81
13,7.75,81
26,6.5,82
27,7,82
3,6.5,82
39,13,84
23,11.5,84
16,13,84
57,16.25,85
38,16.5,85
30,16.25,85
34,11,86
12,8,86
37,11,86
17,5.2,87
11,6,87
17,2.6,89
11,2,89
12,6.4,90
9,7.67,90
15,8,91
3,9,91
21,6.4,93
16,8.75,94
10,7,94
13,8.75,94
14,5.2,95
4,4.67,95
11,4.75,96
8,4,96
9,4.75,96
16,5,97
7,5.5,97
7,5,97
16,4.2,98
10,5,98
47,11.5,236
37,12.5,236
92,11.5,236
66,5.33,237
28,7,237
21,5.33,237
62,2.5,238
10,4,238
16,2.5,238
138,27.2,239
22,30,239
82,10.75,240
43,9.5,240
47,10.75,240
15,5.75,241
2,6,241
7,5.75,241
49,4.5,242
5,4,242
46,4.5,242
4,4,243
11,4,243
7,4,243
14,0.5,244
33,4.5,245
1,4.5,245
10,4.5,245
12,1,246
6,0.5,246
8,1,246
25,5.25,247
8,6,247
19,5.25,247
17,2.25,248
4,2,248
45,6.6,249
15,6.67,249
43,6.8,250
23,6.67,250
16,2.2,251
8,2.67,251
54,11.5,252
35,8,252
24,11.5,252
37,5.2,253
20,6.33,253
30,7.75,254
14,6.5,254
12,7.75,254
42,13.6,255
19,13.67,255
151,21,256
37,24,256
69,10.2,257
29,11.33,257
57,13.75,258
28,10.5,258
42,13.75,258
148,16,259
17,17.67,259
8,2.4,260
27,5.25,261
8,5.5,261
19,5.25,261
35,6,262
20,8.5,262
22,6,262
69,8,263
18,8.5,263
46,8,263
23,5,264
14,6.67,264
25,5,264
13,3,265
10,2.5,265
5,3,265
34,5,266
14,5.5,266
15,5,266
17,1,267
17,5.4,268
4,5.67,268
12,4.6,269
4,5,269
29,6,270
8,5.5,270
14,6,270
12,3.6,271
5,4,271
8,1.6,272
3,2,272
34,4.4,273
6,5.67,273
17,1.2,274
8,1,274
9,2.4,275
11,1.33,275
39,3.75,276
8,3.5,276
34,3.75,276
160,20,277
63,18,277
30,7.25,278
15,9.5,278
12,7.25,278
10,0.75,279
3,1,279
18,0.75,279
14,3.5,280
6,3,280
15,3.5,280
7,3.6,281
4,5.33,281
6,1.8,283
6,1.8,284
4,1.33,284
14,2.6,285
6,2.67,285
27,3.5,286
11,3.5,286
36,7,287
23,7,287
30,7,287
24,4.4,288
13,5.67,288
14,3.25,289
10,1,289
4,3.25,289
46,12.25,290
42,13.5,290
28,12.25,290
113,8.5,291
37,9.5,291
25,8.5,291
69,14.75,292
26,16,292
34,14.75,292
113,10.5,293
34,11,293
79,10.5,293
15,8.75,294
16,7.5,294
18,8.75,294
31,14.75,295
21,10,295
34,14.75,295
130,9.5,296
53,10.5,296
47,9.5,296
21,5.5,297
17,7.5,297
9,5.5,297
91,13.33,298
84,13.67,298
53,13.33,298
28,6.25,299
9,6,299
11,6.25,299
22,3,300
5,1.5,300
4,3,300
12,4,301
19,4.5,301
11,4,301
36,4,302
16,5,302
37,16,303
15,13.5,303
61,16,303
32,4.2,304
26,6.33,304
18,4,305
20,5,305
2,4,306
6,5,306
28,2,307
2,2.33,307
32,2.2,308
37,3.6,309
9,4.67,309
14,2.5,311
8,1,311
9,2.5,311
35,20.75,312
13,17.5,312
30,7,313
20,7.5,313
47,7,313
43,6.4,314
21,6.67,314
85,49.2,315
72,45.33,315
112,11.5,316
